Number	id
"549755813888"	"band_40"
"274877906944"	"band_39"
"68719476736"	"band_37"
"137438953472"	"band_38"
"34359738368"	"band_36"
"17179869184"	"band_35"
"8589934592"	"band_34"
"4294967296"	"band_33"
"2147483648"	"band_32"
"33554432"	"band_31"
"16777216"	"band_25"
"2097152"	"band_22"
"1048576"	"band_21"
"524288"	"band_20"
"262144"	"band_19"
"8192"	"band_14"
"4096"	"band_13"
"2048"	"band_12"
"1024"	"band_11"
"512"	"band_10"
"256"	"band_9"
"128"	"band_8"
"64"	"band_7"
"32"	"band_6"
"16"	"band_5"
"8"	"band_4"
"4"	"band_3"
"2"	"band_2"
"1"	"band_1"